date_template;date_desc;date_key;date_example;julia_regex
DD Monthname YY;DD Monthname 2 digit year;DDspMonthspYY;02 January 06;(\d\d)\s(.+?)\s(\d\d)
DD Monthname YYYY;DD Monthname 4 digit year;DDspMonthspYYYY;02 January 2006;(\d\d)\s(.+?)\s(\d\d\d\d)
DDMMYYYY;Little-endian DDMMYYYY;DDMMYYYY;2012006;(\d\d)(\d\d)(\d\d\d\d)
DDMMYY;Little-endian DDMMYY;DDMMYY;20106;(\d\d)(\d\d)(\d\d)
DD-Mon-YY;DD Mon year hyphen 2 digit year;DDhyMonhyYY;02-Jan-06;(\d\d)-(.{3})-(\d\d)
DD-Mon-YYYY;DD Mon year hyphen 4 digit year;DDhyMonhyYYYY;02-Jan-2006;(\d\d)-(.{3})-(\d\d\d\d)
D-Mon-YY;1 digit day Mon year hyphen 2 digit year;DhyMonhyYY;2-Jan-06;(\d)-(.{3})-(\d\d)
D-Mon-YYYY;1 digit day Mon year hyphen 4 digit year;DhyMonhyYYYY;2-Jan-2006;(\d)-(.{3})-(\d\d\d\d)
Mon DD YYYY HH:MIAM;USA long;MonspDDspYYYYspHHcolMIAM;Jan 02 2006 15:03PM;(.{3})\s(\d\d)\s(\d\d\d\d)\s(\d\d):(\d\d)(.?M)
Mon D, YY;Mon 1 digit Day comma 2 digit year;MonspDcomspYY;Jan 2, 06;(.{3})\s(\d),\s(\d\d)
Mon D, YYYY;Mon 1 digit day Day comma 4 digit year;MonspDcomspYYYY;Jan 2,2006;(.{3})\s(\d),\s(\d\d\d\d)
Mon DD, YY;Mon Day comma 2 digit year;MonspDDcomspYY;Jan 02, 06;(.{3})\s(\d\d),\s(\d\d)
Mon DD, YYYY;Mon Day comma 4 digit year;MonspDDcomspYYYY;Jan 02, 2006;(.{3})\s(\d\d),\s(\d\d\d\d)
Mon DD YYYY;Mon Day 4 digit year;MonspDDspYYYY;Jan 02 2006;(.{3})\s(\d\d)\s(\d\d\d\d)
Mon DD YYYY HH:MI:SS.MMMAM (or PM);Mon Day 4 digit year + milliseconds;MonspDDspYYYYspHHcolMMcolSSdoMMMAM;Jan 02 2006 03:04:05.000PM;(.{3})\s(\d\d)\s(\d\d\d\d)\s(\d\d):(\d\d):(\d\d).(\d+)(.?M)
MM/DD/YYYY;USA 4 digit year;MMslDDslYYYY;01/02/2006;(\d\d)/(\d\d)/(\d\d\d\d)
MM/DD/YY;USA 2 digit year;MMslDDslYY;01/02/06;(\d\d)/(\d\d)/(\d\d)
MM/D/YY;USA 1 digit day 2 digit year;MMslDslYY;01/2/06;(\d\d)/(\d)/(\d\d)
MM/D/YYYY;USA 1 digit day 4 digit year;MMslDslYYYY;01/2/2006;(\d\d)/(\d)/(\d\d\d\d)
M/DD/YY;USA 1 digit mth 2 digit year;MslDDslYY;1/02/06;(\d)/(\d\d)/(\d\d)
M/DD/YYYY;USA 1 digit mth 4 digit year;MslDDslYYYY;1/02/2006;(\d)/(\d\d)/(\d\d\d\d)
MM-DD-YYYY;USA short 4 digit year;MMhyDDhyYYYY;01-02-2006;(\d\d)-(\d\d)-(\d\d\d\d)
MM-DD-YY;USA short 2 digit year;MMhyDDhyYY;01-02-06;(\d\d)-(\d\d)-(\d\d\d\d)
M-DD-YY;USA 1 digit mth short 2 digit year;MhyDDhyYY;1-02-06;(\d)-(\d\d)-(\d\d)
M-DD-YYYY;USA 1 digit mth short 4 digit year;MhyDDhyYYYY;1-02-2006;(\d)-(\d\d)-(\d\d\d\d) 
MM-D-YY;USA 1 digit day short 2 digit year;MMhyDhyYY;01-2-06;(\d\d)-(\d)-(\d\d)
